@id,@lon,@lat,name,barrier,addr:full,denomination,time,opening_hours,addr:postcode,No.benches,object_id,source,FIXME,Feuil1_Fie,building:material,operator:type,DataLevel,historic,ele,education:students,note:fr,capacity:teachers,operator,name:en,phone,addr:street,note,name:fr,amenity,toilets,fixme2,building,email,religion,Effectifs,capacity:classrooms,is_in,Facilities,School_Type,note:en,tourism,date,light,addr:city,school:FR,school:CM,source:ref,note:bilingue,addr:housenumber,place,education:teachers,lit,shop,No.Benches,website,fixme,Infomation,education:students_male,description,education:repetition_rate,education:benches,education:students_female,fee,wheelchair,official_name,school:cycle,capacity:pupils,code,type,information,facilities,short_name,fountain
1067289813,11.3935444,4.0154668,Lycée d'Okola,,,,,,,605,,,,,,,,,,1361,,,,,,,,,school,,,,,,,,,Toilet,,,,,,,,,,,,,63,,,,,,,755,,,,606,,,,,,,,,,,
1067289815,11.3203729,4.0077829,Lycée de Ntuissong,,,,,,,,,,,,,,,,,144,,,,,,,,,school,,,,,,,,,None,,,,,,,,,,,,,16,,,,,,,90,,,,54,,,,,,,,,,,
1067289817,11.3243969,4.0646724,Ecole Primaire St.Bathelemey de Mva'a groupe II,,,,,,,,,,,,,,,,,212,,,,,,,,,school,,,,,,,,,Toilet,,,,,,,,,,,,,6,,,,,,,100,,,,112,,,,,,,,,,,
1067289823,11.3935830,4.0155576,1er Cylce de Lycee d'Okola,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067289833,11.3485812,3.9461425,Ecole Publique de Nkold-Njobe,,,,,,,,,,,,,,,,,250,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,5,,,141,,,,141,,,,109,,,,,,,,,,,
1067289860,11.3423613,4.0504956,Ecole Publique de Mva'a I,,,,,,,,,,,,,,,,,169,,,,,,,,,school,,,,,,,,,None,,,,,,,,,,,,,3,,,,,,,90,,,,79,,,,,,,,,,,
1067289864,11.3491887,3.9739136,Ecole Publique de Elig Yem,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,No data sheet fllled,,,,,,,,,,,,,,,,
1067289866,11.3933743,4.0160561,2nd Cycle de Lycee d'Okola,,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067289870,11.3140320,4.0425771,Ecole Publique et Maternelle de Elig-Onana,,,,,,,,,,,,,,,,,184,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,94,,,,91,,,,,,,,,Light Water,,
1067289877,11.3252768,4.0633772,Ecole Primaire St.Barthelemy de Mva'a groupe I,,,,,,,,,,,,,,,,,345,,,,,,,,,school,,is that of interest? no of Benches = 101,,,,,,,,,,,,,,,,,,,,6,,,,,is that a political statement? Student /Teacher ratio = 56:1,,179,,,,166,,,,,,,,,,,
1067289903,11.2658982,4.0821323,Ecole Publique de Minsoa I,,,,,,,,,,,,,,,,,367,,,,,,,,,school,,,,,,,,,Toilet,,,,,,,,,,,,,3,,,,,,,180,,,,187,,,,,,,,,,,
1067289907,11.3861648,4.0200814,Ecole st.esprit d'Okola,,,,,,,,,,,,,,,,,330,,,,,,,,,school,,,,,,,,,Light Water,,,,,,,,,,,,,,,,70,,,,175,,,,155,,,,,,,,,,,
1067289924,11.2773021,4.0411243,Ecole Publique de Ngobassi,,,,,,,,,,,,,,,,,212,,,,,,,,,school,,,,,,,,,Toilet,,,,,,,,,,,,,3,,,,,,,100,,,,113,,,,,,,,,,,
